key,itemLabel,itemLabelheb,uri
Q898031,space pirate,Q898031,http://www.wikidata.org/entity/Q898031
Q901192,lead guitarist,Q901192,http://www.wikidata.org/entity/Q901192
Q903810,magnate,מגנאט,http://www.wikidata.org/entity/Q903810
Q911554,business magnate,טייקון,http://www.wikidata.org/entity/Q911554
Q912310,code talker,דוברי קוד,http://www.wikidata.org/entity/Q912310
Q913532,charro,Q913532,http://www.wikidata.org/entity/Q913532
Q914223,pen pal,חברים לעט,http://www.wikidata.org/entity/Q914223
Q915830,supercargo,Q915830,http://www.wikidata.org/entity/Q915830
Q930402,witch doctor,רופא אליל,http://www.wikidata.org/entity/Q930402
Q930701,gamemaster,Q930701,http://www.wikidata.org/entity/Q930701
Q931260,murderer,רוצח,http://www.wikidata.org/entity/Q931260
Q932945,khatib,Q932945,http://www.wikidata.org/entity/Q932945
Q933495,demi-mondaine,דמימונד (נשות העולם),http://www.wikidata.org/entity/Q933495
Q936969,nanny,אומנת,http://www.wikidata.org/entity/Q936969
Q952375,shifu,Q952375,http://www.wikidata.org/entity/Q952375
Q956365,Liedermacher,לידרמאכר,http://www.wikidata.org/entity/Q956365
Q978061,forest owner,Q978061,http://www.wikidata.org/entity/Q978061
Q986514,Ring-bearers,נושא הטבעת,http://www.wikidata.org/entity/Q986514
Q989174,convict,Q989174,http://www.wikidata.org/entity/Q989174
Q998550,bookseller,מוכר ספרים,http://www.wikidata.org/entity/Q998550
Q1021386,civil rights advocate,עורך דין לזכויות אדם,http://www.wikidata.org/entity/Q1021386
Q1021663,office staff,Q1021663,http://www.wikidata.org/entity/Q1021663
Q1027930,webcam model,דוגמנית מצלמה,http://www.wikidata.org/entity/Q1027930
Q1028181,painter,צייר,http://www.wikidata.org/entity/Q1028181
Q1045845,lead vocalist,סולן,http://www.wikidata.org/entity/Q1045845
Q1049924,empresario,Q1049924,http://www.wikidata.org/entity/Q1049924
Q1055825,digital journalism,עיתונות מקוונת,http://www.wikidata.org/entity/Q1055825
Q1062723,chaperon,Q1062723,http://www.wikidata.org/entity/Q1062723
Q1072339,chief marketing officer,Q1072339,http://www.wikidata.org/entity/Q1072339
Q1075838,dawah,דעוה,http://www.wikidata.org/entity/Q1075838
Q1076418,choregos,כורגוס,http://www.wikidata.org/entity/Q1076418
Q1078096,unlicensed assistive personnel,סניטר,http://www.wikidata.org/entity/Q1078096
Q1078262,database administrator,Q1078262,http://www.wikidata.org/entity/Q1078262
Q1078995,rogue,Q1078995,http://www.wikidata.org/entity/Q1078995
Q1079215,AV idol,כוכבת פורנו יפנית,http://www.wikidata.org/entity/Q1079215
Q1089730,gigolo,ג'יגולו,http://www.wikidata.org/entity/Q1089730
Q1095026,lizhang,Q1095026,http://www.wikidata.org/entity/Q1095026
Q1097498,ruler,שליט,http://www.wikidata.org/entity/Q1097498
Q1099405,cleaner,Q1099405,http://www.wikidata.org/entity/Q1099405
Q1114448,cartoonist,צייר קומיקס,http://www.wikidata.org/entity/Q1114448
Q1114478,postulat,Q1114478,http://www.wikidata.org/entity/Q1114478
Q1124183,lumberjack,חוטב עצים,http://www.wikidata.org/entity/Q1124183
Q1125062,rebel,מורד,http://www.wikidata.org/entity/Q1125062
Q1127270,deputy chairperson,Q1127270,http://www.wikidata.org/entity/Q1127270
Q1140764,crofter,Q1140764,http://www.wikidata.org/entity/Q1140764
Q1141016,crooner,Q1141016,http://www.wikidata.org/entity/Q1141016
Q1145660,groupie,Q1145660,http://www.wikidata.org/entity/Q1145660
Q1146336,cutman,Q1146336,http://www.wikidata.org/entity/Q1146336
Q1146843,anchorite,Q1146843,http://www.wikidata.org/entity/Q1146843
Q1150166,facilitator,קבוצה מונחית,http://www.wikidata.org/entity/Q1150166
Q1153051,inker,Q1153051,http://www.wikidata.org/entity/Q1153051
Q1154323,spree killer,Q1154323,http://www.wikidata.org/entity/Q1154323
Q1155081,Catholic seminarian,Q1155081,http://www.wikidata.org/entity/Q1155081
Q1162163,director,דירקטור,http://www.wikidata.org/entity/Q1162163
Q1165430,daoshi,Q1165430,http://www.wikidata.org/entity/Q1165430
Q1181984,Marine officer,Q1181984,http://www.wikidata.org/entity/Q1181984
Q1184268,delinquent,Q1184268,http://www.wikidata.org/entity/Q1184268
Q1191511,pastry chef,מגדנאי,http://www.wikidata.org/entity/Q1191511
Q1191714,blue-collar worker,צווארון כחול,http://www.wikidata.org/entity/Q1191714
Q1199966,Kampaku,Q1199966,http://www.wikidata.org/entity/Q1199966
Q1200828,supercentenarian,סופר-סנטנריאני,http://www.wikidata.org/entity/Q1200828
Q1201898,Shahidka,Q1201898,http://www.wikidata.org/entity/Q1201898
Q1203797,bicycle courier,Q1203797,http://www.wikidata.org/entity/Q1203797
Q1210069,general manager,"מנכ""ל",http://www.wikidata.org/entity/Q1210069
Q1214796,double-bassist,נגן קונטרבס,http://www.wikidata.org/entity/Q1214796
Q1225491,dilettante,דילטנט,http://www.wikidata.org/entity/Q1225491
Q1225716,ornithologist,אורניתולוג,http://www.wikidata.org/entity/Q1225716
Q1229025,typographer,טיפוגרף,http://www.wikidata.org/entity/Q1229025
Q1250916,warrior,לוחם,http://www.wikidata.org/entity/Q1250916
Q1251441,leader,מנהיג,http://www.wikidata.org/entity/Q1251441
Q1254525,drag king,דראג קינג,http://www.wikidata.org/entity/Q1254525
Q1255461,angel of mercy,Q1255461,http://www.wikidata.org/entity/Q1255461
Q1255921,president,נשיא,http://www.wikidata.org/entity/Q1255921
Q1259323,tribal chief,צ'יף,http://www.wikidata.org/entity/Q1259323
Q1259917,violinist,כנר,http://www.wikidata.org/entity/Q1259917
